source,target,value
서울,소과 - 초시,200
경기,소과 - 초시,60
강원,소과 - 초시,45
충청,소과 - 초시,90
전라,소과 - 초시,90
경상,소과 - 초시,100
황해,소과 - 초시,35
평안,소과 - 초시,45
함경,소과 - 초시,35
서울,대과 - 초시,40
경기,대과 - 초시,20
강원,대과 - 초시,15
충청,대과 - 초시,10
전라,대과 - 초시,25
경상,대과 - 초시,30
황해,대과 - 초시,25
평안,대과 - 초시,15
함경,대과 - 초시,10
소과 - 초시,소과 - 복시,100
소과 - 복시,성균관,100
성균관,대과 - 초시,50
대과 - 초시,대과 - 복시,33
대과 - 복시,대과 - 전시,33
