king,y,m,d,max,min,avg,maxmax,minmin,date
경종,1720,10,23,3.0,2.0,2.5,22.0,1.0,1720-10-23
경종,1720,09,27,2.0,1.0,1.5,46.0,1.0,1720-09-27
경종,1720,09,26,3.0,1.0,1.6,15.0,1.0,1720-09-26
경종,1720,12,22,4.0,1.0,2.25,15.0,1.0,1720-12-22
경종,1720,03,19,2.0,1.0,1.3333333333333333,16.0,1.0,1720-03-19
경종,1720,09,25,4.0,1.0,2.0,19.0,1.0,1720-09-25
경종,1720,12,29,2.0,1.0,1.5,13.0,1.0,1720-12-29
경종,1720,03,20,2.0,2.0,2.0,14.0,1.0,1720-03-20
경종,1720,09,24,2.0,1.0,1.8,17.0,1.0,1720-09-24
경종,1720,03,21,3.0,1.0,2.0,16.0,1.0,1720-03-21
경종,1720,03,18,3.0,1.0,1.75,14.0,1.0,1720-03-18
경종,1720,09,12,3.0,1.0,2.0,11.0,1.0,1720-09-12
경종,1720,02,22,3.0,1.0,2.0,17.0,1.0,1720-02-22
경종,1720,10,24,4.0,1.0,2.5,21.0,1.0,1720-10-24
경종,1720,01,25,4.0,1.0,2.25,17.0,1.0,1720-01-25
경종,1720,11,23,3.0,1.0,1.5,21.0,1.0,1720-11-23
경종,1720,12,31,4.0,1.0,2.75,15.0,1.0,1720-12-31
경종,1720,01,26,7.0,1.0,3.3333333333333335,11.0,1.0,1720-01-26
경종,1720,11,22,5.0,2.0,3.5,15.0,1.0,1720-11-22
경종,1720,11,21,3.0,1.0,2.3333333333333335,14.0,1.0,1720-11-21
경종,1720,01,27,5.0,2.0,2.75,12.0,1.0,1720-01-27
경종,1720,11,20,2.0,1.0,1.5,28.0,1.0,1720-11-20
경종,1720,01,28,3.0,1.0,2.25,11.0,1.0,1720-01-28
경종,1720,11,19,4.0,1.0,1.75,22.0,1.0,1720-11-19
경종,1720,12,20,4.0,1.0,2.3333333333333335,11.0,1.0,1720-12-20
경종,1720,01,29,2.0,1.0,1.6666666666666667,13.0,1.0,1720-01-29
경종,1720,11,18,4.0,1.0,2.6666666666666665,10.0,1.0,1720-11-18
경종,1720,01,30,4.0,1.0,2.0,11.0,1.0,1720-01-30
경종,1720,11,17,4.0,1.0,2.5,13.0,1.0,1720-11-17
경종,1720,01,31,4.0,1.0,2.0,13.0,1.0,1720-01-31
경종,1720,11,16,2.0,1.0,1.3333333333333333,12.0,1.0,1720-11-16
경종,1720,11,24,2.0,2.0,2.0,21.0,1.0,1720-11-24
경종,1720,02,01,4.0,1.0,2.25,23.0,1.0,1720-02-01
경종,1720,01,24,2.0,1.0,1.5,15.0,1.0,1720-01-24
경종,1720,01,23,8.0,1.0,4.0,11.0,1.0,1720-01-23
경종,1720,12,04,6.0,1.0,3.0,27.0,1.0,1720-12-04
경종,1720,01,15,5.0,1.0,3.0,15.0,1.0,1720-01-15
경종,1720,12,03,7.0,1.0,2.75,11.0,1.0,1720-12-03
경종,1720,01,16,2.0,2.0,2.0,14.0,1.0,1720-01-16
경종,1720,12,02,8.0,2.0,4.25,11.0,1.0,1720-12-02
경종,1720,01,17,2.0,2.0,2.0,11.0,1.0,1720-01-17
경종,1720,12,01,6.0,3.0,4.5,14.0,1.0,1720-12-01
경종,1720,01,18,3.0,1.0,2.0,16.0,1.0,1720-01-18
경종,1720,11,30,7.0,1.0,3.25,13.0,1.0,1720-11-30
경종,1720,01,19,3.0,2.0,2.5,12.0,1.0,1720-01-19
경종,1720,11,29,6.0,1.0,3.75,24.0,1.0,1720-11-29
경종,1720,01,20,5.0,1.0,2.6666666666666665,16.0,1.0,1720-01-20
경종,1720,11,28,2.0,1.0,1.3333333333333333,21.0,1.0,1720-11-28
경종,1720,01,21,4.0,2.0,3.0,24.0,1.0,1720-01-21
경종,1720,11,27,6.0,1.0,3.3333333333333335,12.0,1.0,1720-11-27
경종,1720,01,22,7.0,2.0,3.6666666666666665,9.0,1.0,1720-01-22
경종,1720,11,26,4.0,1.0,2.5,14.0,1.0,1720-11-26
경종,1720,11,25,4.0,1.0,2.0,23.0,1.0,1720-11-25
경종,1720,11,15,2.0,1.0,1.3333333333333333,11.0,1.0,1720-11-15
경종,1720,02,02,4.0,1.0,2.3333333333333335,13.0,1.0,1720-02-02
경종,1720,11,14,4.0,1.0,2.0,12.0,1.0,1720-11-14
경종,1720,11,02,3.0,1.0,2.3333333333333335,11.0,1.0,1720-11-02
경종,1720,02,14,5.0,1.0,2.3333333333333335,16.0,1.0,1720-02-14
경종,1720,11,01,2.0,1.0,1.6666666666666667,11.0,1.0,1720-11-01
경종,1720,02,15,2.0,1.0,1.5,14.0,1.0,1720-02-15
경종,1720,10,31,3.0,1.0,2.0,11.0,1.0,1720-10-31
경종,1720,02,16,4.0,1.0,2.0,13.0,1.0,1720-02-16
경종,1720,10,30,4.0,1.0,2.25,12.0,1.0,1720-10-30
경종,1720,02,17,3.0,1.0,1.75,12.0,1.0,1720-02-17
경종,1720,10,29,3.0,1.0,1.75,15.0,1.0,1720-10-29
경종,1720,02,18,5.0,1.0,2.25,20.0,1.0,1720-02-18
경종,1720,10,28,3.0,1.0,2.0,15.0,1.0,1720-10-28
경종,1720,02,19,5.0,2.0,2.75,12.0,1.0,1720-02-19
경종,1720,10,27,5.0,1.0,2.75,19.0,1.0,1720-10-27
경종,1720,10,26,5.0,2.0,2.75,17.0,1.0,1720-10-26
경종,1720,02,20,4.0,1.0,2.3333333333333335,22.0,1.0,1720-02-20
경종,1720,10,25,3.0,1.0,2.25,19.0,1.0,1720-10-25
경종,1720,02,21,4.0,2.0,3.0,13.0,1.0,1720-02-21
경종,1720,02,13,3.0,1.0,1.75,14.0,1.0,1720-02-13
경종,1720,11,03,2.0,2.0,2.0,10.0,1.0,1720-11-03
경종,1720,02,12,3.0,1.0,2.3333333333333335,15.0,1.0,1720-02-12
경종,1720,11,04,3.0,2.0,2.75,14.0,1.0,1720-11-04
경종,1720,02,03,3.0,1.0,1.75,14.0,1.0,1720-02-03
경종,1720,11,13,4.0,1.0,2.3333333333333335,27.0,1.0,1720-11-13
경종,1720,02,04,3.0,1.0,2.0,14.0,1.0,1720-02-04
경종,1720,11,12,4.0,1.0,2.3333333333333335,11.0,1.0,1720-11-12
경종,1720,02,05,3.0,2.0,2.25,13.0,1.0,1720-02-05
경종,1720,11,11,3.0,1.0,2.0,13.0,1.0,1720-11-11
경종,1720,02,06,4.0,2.0,2.6666666666666665,13.0,1.0,1720-02-06
경종,1720,11,10,3.0,1.0,2.0,19.0,1.0,1720-11-10
경종,1720,12,30,4.0,2.0,2.75,16.0,1.0,1720-12-30
경종,1720,11,09,3.0,1.0,2.3333333333333335,11.0,1.0,1720-11-09
경종,1720,11,08,3.0,1.0,1.6666666666666667,13.0,1.0,1720-11-08
경종,1720,02,08,4.0,1.0,1.75,22.0,1.0,1720-02-08
경종,1720,11,07,2.0,1.0,1.6666666666666667,15.0,1.0,1720-11-07
경종,1720,02,09,3.0,1.0,2.25,15.0,1.0,1720-02-09
경종,1720,11,06,2.0,2.0,2.0,10.0,1.0,1720-11-06
경종,1720,02,10,4.0,1.0,2.0,44.0,1.0,1720-02-10
경종,1720,11,05,2.0,1.0,1.5,24.0,1.0,1720-11-05
경종,1720,02,11,4.0,2.0,3.0,20.0,1.0,1720-02-11
경종,1720,02,07,5.0,1.0,2.25,19.0,1.0,1720-02-07
경종,1720,01,14,4.0,1.0,2.0,10.0,1.0,1720-01-14
경종,1720,04,01,1.0,1.0,1.0,18.0,1.0,1720-04-01
경종,1720,04,02,1.0,1.0,1.0,16.0,1.0,1720-04-02
경종,1720,07,19,3.0,1.0,2.0,13.0,1.0,1720-07-19
경종,1720,05,22,4.0,1.0,2.3333333333333335,13.0,1.0,1720-05-22
경종,1720,07,18,2.0,1.0,1.6666666666666667,23.0,1.0,1720-07-18
경종,1720,05,23,6.0,1.0,3.0,12.0,1.0,1720-05-23
경종,1720,07,17,9.0,1.0,4.0,16.0,1.0,1720-07-17
경종,1720,05,24,6.0,1.0,3.0,29.0,1.0,1720-05-24
경종,1720,07,16,2.0,1.0,1.5,12.0,1.0,1720-07-16
경종,1720,05,25,5.0,1.0,3.75,12.0,1.0,1720-05-25
경종,1720,07,15,5.0,1.0,2.75,23.0,1.0,1720-07-15
경종,1720,05,26,3.0,1.0,1.6666666666666667,15.0,1.0,1720-05-26
경종,1720,07,14,2.0,2.0,2.0,15.0,1.0,1720-07-14
경종,1720,07,13,4.0,2.0,3.0,24.0,1.0,1720-07-13
경종,1720,05,27,5.0,2.0,2.75,15.0,1.0,1720-05-27
경종,1720,07,12,5.0,1.0,2.0,28.0,1.0,1720-07-12
경종,1720,05,28,6.0,1.0,2.5,10.0,1.0,1720-05-28
경종,1720,07,11,2.0,2.0,2.0,14.0,1.0,1720-07-11
경종,1720,05,29,4.0,2.0,3.25,15.0,1.0,1720-05-29
경종,1720,05,21,4.0,1.0,2.5,14.0,1.0,1720-05-21
경종,1720,07,10,5.0,1.0,2.5,16.0,1.0,1720-07-10
경종,1720,07,20,3.0,1.0,2.0,21.0,1.0,1720-07-20
경종,1720,05,20,3.0,1.0,2.0,14.0,1.0,1720-05-20
경종,1720,05,12,3.0,1.0,2.0,17.0,1.0,1720-05-12
경종,1720,07,29,2.0,1.0,1.6,13.0,1.0,1720-07-29
경종,1720,12,27,5.0,2.0,2.75,10.0,1.0,1720-12-27
경종,1720,05,13,3.0,1.0,1.75,20.0,1.0,1720-05-13
경종,1720,07,28,3.0,1.0,1.5,12.0,1.0,1720-07-28
경종,1720,05,14,4.0,1.0,2.25,11.0,1.0,1720-05-14
경종,1720,07,27,2.0,1.0,1.2,14.0,1.0,1720-07-27
경종,1720,05,15,7.0,1.0,3.5,13.0,1.0,1720-05-15
경종,1720,07,26,3.0,1.0,1.4,26.0,1.0,1720-07-26
경종,1720,05,16,4.0,1.0,2.25,11.0,1.0,1720-05-16
경종,1720,07,25,2.0,1.0,1.5,16.0,1.0,1720-07-25
경종,1720,05,17,2.0,1.0,1.75,26.0,1.0,1720-05-17
경종,1720,07,24,2.0,1.0,1.5,17.0,1.0,1720-07-24
경종,1720,05,18,2.0,1.0,1.3333333333333333,26.0,1.0,1720-05-18
경종,1720,07,23,3.0,2.0,2.5,21.0,1.0,1720-07-23
경종,1720,05,19,5.0,3.0,3.6666666666666665,12.0,1.0,1720-05-19
경종,1720,07,22,5.0,1.0,2.4,11.0,1.0,1720-07-22
경종,1720,07,21,4.0,1.0,2.6,13.0,1.0,1720-07-21
경종,1720,05,30,3.0,1.0,1.6666666666666667,17.0,1.0,1720-05-30
경종,1720,07,09,2.0,1.0,1.6666666666666667,46.0,1.0,1720-07-09
경종,1720,05,31,6.0,2.0,3.3333333333333335,13.0,1.0,1720-05-31
경종,1720,06,28,3.0,1.0,1.6666666666666667,40.0,1.0,1720-06-28
경종,1720,06,11,4.0,1.0,2.0,14.0,1.0,1720-06-11
경종,1720,06,27,3.0,3.0,3.0,17.0,1.0,1720-06-27
경종,1720,06,12,6.0,1.0,3.0,15.0,1.0,1720-06-12
경종,1720,06,26,4.0,1.0,2.0,28.0,1.0,1720-06-26
경종,1720,06,13,5.0,1.0,2.75,17.0,1.0,1720-06-13
경종,1720,06,25,3.0,2.0,2.5,15.0,1.0,1720-06-25
경종,1720,06,24,3.0,1.0,2.0,11.0,1.0,1720-06-24
경종,1720,06,14,5.0,1.0,3.0,19.0,1.0,1720-06-14
경종,1720,06,23,3.0,1.0,2.25,21.0,1.0,1720-06-23
경종,1720,06,15,5.0,2.0,3.3333333333333335,18.0,1.0,1720-06-15
경종,1720,06,22,2.0,1.0,1.3333333333333333,14.0,1.0,1720-06-22
경종,1720,06,16,2.0,1.0,1.6666666666666667,13.0,1.0,1720-06-16
경종,1720,06,21,6.0,1.0,3.0,33.0,1.0,1720-06-21
경종,1720,06,17,3.0,2.0,2.5,13.0,1.0,1720-06-17
경종,1720,06,20,4.0,1.0,2.0,17.0,1.0,1720-06-20
경종,1720,06,18,8.0,2.0,3.75,12.0,1.0,1720-06-18
경종,1720,06,10,4.0,1.0,2.0,30.0,1.0,1720-06-10
경종,1720,06,29,3.0,1.0,2.0,24.0,1.0,1720-06-29
경종,1720,06,09,1.0,1.0,1.0,14.0,1.0,1720-06-09
경종,1720,12,26,3.0,1.0,2.0,11.0,1.0,1720-12-26
경종,1720,07,08,3.0,1.0,1.6666666666666667,18.0,1.0,1720-07-08
경종,1720,06,01,5.0,2.0,3.75,16.0,1.0,1720-06-01
경종,1720,07,07,3.0,1.0,1.75,16.0,1.0,1720-07-07
경종,1720,12,25,3.0,2.0,2.5,17.0,1.0,1720-12-25
경종,1720,06,02,3.0,1.0,1.5,27.0,1.0,1720-06-02
경종,1720,07,06,3.0,1.0,2.0,18.0,1.0,1720-07-06
경종,1720,06,03,4.0,2.0,3.0,10.0,1.0,1720-06-03
경종,1720,07,05,6.0,1.0,3.25,26.0,1.0,1720-07-05
경종,1720,07,30,2.0,1.0,1.25,26.0,1.0,1720-07-30
경종,1720,06,04,7.0,1.0,3.5,15.0,1.0,1720-06-04
경종,1720,06,05,3.0,2.0,2.75,14.0,1.0,1720-06-05
경종,1720,07,03,5.0,3.0,3.5,15.0,1.0,1720-07-03
경종,1720,06,06,5.0,1.0,2.75,13.0,1.0,1720-06-06
경종,1720,07,02,4.0,2.0,2.5,14.0,1.0,1720-07-02
경종,1720,06,07,4.0,1.0,2.5,10.0,1.0,1720-06-07
경종,1720,07,01,2.0,1.0,1.25,18.0,1.0,1720-07-01
경종,1720,06,08,4.0,1.0,2.5,24.0,1.0,1720-06-08
경종,1720,06,30,6.0,3.0,4.5,12.0,1.0,1720-06-30
경종,1720,07,04,3.0,1.0,2.25,22.0,1.0,1720-07-04
경종,1720,09,11,3.0,1.0,2.0,18.0,1.0,1720-09-11
경종,1720,05,11,5.0,2.0,3.5,20.0,1.0,1720-05-11
경종,1720,05,10,4.0,2.0,3.0,14.0,1.0,1720-05-10
경종,1720,08,30,4.0,1.0,2.0,11.0,1.0,1720-08-30
경종,1720,12,23,4.0,1.0,2.6666666666666665,12.0,1.0,1720-12-23
경종,1720,04,13,2.0,1.0,1.3333333333333333,14.0,1.0,1720-04-13
경종,1720,08,29,1.0,1.0,1.0,12.0,1.0,1720-08-29
경종,1720,04,14,3.0,1.0,2.0,13.0,1.0,1720-04-14
경종,1720,08,28,1.0,1.0,1.0,14.0,1.0,1720-08-28
